P               v        c11s        c22s        c33s       c12s        c13s        c23s       c44s       c55s       c66s      c24s      c15s       B_vrh      G_vrh       v_s       v_p
3.6   168.268590  236.855143  236.855140  160.546845  88.478542   45.227729   45.227729  15.317926  15.317926  74.900992  0.316887  0.316887  106.824286  40.334294  7.663471  3.840480
3.8   167.944126  237.059416  237.059364  163.132775  88.520759   46.615337   46.615332  15.169582  15.169585  74.985898  0.320368  0.320365  107.991652  40.218309  7.680184  3.831256
4.0   167.624264  237.225983  237.225884  165.673557  88.525489   48.004190   48.004180  15.012438  15.012444  75.068848  0.323593  0.323587  109.131869  40.089601  7.695827  3.821476
4.2   167.308878  237.355891  237.355748  168.170507  88.493841   49.394174   49.394160  14.846783  14.846793  75.149868  0.326580  0.326573  110.245521  39.948476  7.710434  3.811153
4.4   166.997836  237.450209  237.450023  170.624974  88.426944   50.785173   50.785154  14.672914  14.672928  75.228985  0.329352  0.329342  111.333210  39.795249  7.724040  3.800299
4.6   166.690955  237.510403  237.510177  173.038815  88.326390   52.177002   52.176979  14.491257  14.491274  75.306220  0.331950  0.331939  112.395902  39.630414  7.736702  3.788935
4.8   166.388178  237.537006  237.536742  175.412690  88.192695   53.569634   53.569607  14.301935  14.301956  75.381607  0.334366  0.334354  113.433713  39.454048  7.748425  3.777060
5.0   166.089398  237.530923  237.530623  177.747737  88.026800   54.962981   54.962950  14.105193  14.105218  75.455173  0.336612  0.336599  114.447098  39.266394  7.759235  3.764682
5.2   165.794505  237.493067  237.492731  180.045103  87.829658   56.356952   56.356916  13.901278  13.901307  75.526948  0.338699  0.338685  115.436518  39.067699  7.769157  3.751809
5.4   165.503348  237.424672  237.424303  182.306317  87.602583   57.751405   57.751365  13.690536  13.690568  75.596959  0.340654  0.340640  116.402731  38.858346  7.778236  3.738457
5.6   165.215866  237.326290  237.325889  184.532099  87.346123   59.146306   59.146262  13.473101  13.473138  75.665236  0.342473  0.342459  117.345867  38.638428  7.786478  3.724624
5.8   164.931976  237.198636  237.198203  186.723363  87.061007   60.541596   60.541548  13.249162  13.249203  75.731807  0.344161  0.344146  118.266206  38.408109  7.793899  3.710315
6.0   164.651587  237.042486  237.042023  188.881096  86.748038   61.937206   61.937153  13.018923  13.018968  75.796699  0.345723  0.345708  119.164087  38.167577  7.800517  3.695532
6.2   164.374583  236.858808  236.858316  191.006489  86.408223   63.333037   63.332981  12.782646  12.782696  75.859944  0.347172  0.347157  120.040032  37.917100  7.806363  3.680287
6.4   164.100881  236.648321  236.647800  193.100467  86.042300   64.729031   64.728970  12.540518  12.540573  75.921570  0.348512  0.348497  120.894322  37.656845  7.811451  3.664581
6.6   163.830426  236.411512  236.410963  195.163707  85.650750   66.125160   66.125096  12.292661  12.292721  75.981601  0.349740  0.349725  121.727011  37.386878  7.815786  3.648412
6.8   163.563140  236.149044  236.148468  197.197078  85.234252   67.521374   67.521305  12.039248  12.039313  76.040066  0.350859  0.350845  122.538328  37.107344  7.819382  3.631780
7.0   163.298947  235.861584  235.860982  199.201449  84.793484   68.917621   68.917547  11.780451  11.780521  76.096991  0.351871  0.351858  123.328501  36.818383  7.822252  3.614687
7.2   163.037729  235.550124  235.549496  201.177982  84.329477   70.313798   70.313720  11.516534  11.516610  76.152411  0.352788  0.352775  124.098122  36.520280  7.824426  3.597146
