P               v        c11s        c22s        c33s       c12s        c13s        c23s       c44s       c55s       c66s      c24s      c15s       B_vrh      G_vrh       v_s       v_p
0.0   175.092649  225.193261  225.195434  104.272778  79.622756   20.660241   20.660397  16.028870  16.028818  73.023822  0.157890  0.158113   80.158151  39.719702  7.117043  3.887622
0.2   174.653115  226.322785  226.324707  107.998968  80.613857   21.992295   21.992436  16.113618  16.113569  73.144694  0.175853  0.176044   81.984547  39.921498  7.163823  3.892588
0.4   174.222165  227.385338  227.387034  111.639771  81.534077   23.329884   23.330010  16.180291  16.180244  73.263870  0.192060  0.192224   83.761773  40.099084  7.208080  3.896423
0.6   173.799536  228.382887  228.384384  115.197823  82.385638   24.672718   24.672832  16.229499  16.229456  73.381344  0.206606  0.206747   85.491267  40.253212  7.249908  3.899165
0.8   173.384871  229.317689  229.319007  118.676687  83.171379   26.020368   26.020470  16.262086  16.262046  73.496985  0.219706  0.219827   87.175262  40.385049  7.289469  3.900881
1.0   172.977785  230.192119  230.193276  122.080214  83.894344   27.372363   27.372454  16.278965  16.278927  73.610637  0.231608  0.231711   88.816222  40.495885  7.326947  3.901644
1.2   172.578082  231.007784  231.008795  125.410388  84.556250   28.728505   28.728586  16.280588  16.280554  73.722333  0.242350  0.242437   90.415131  40.586231  7.362400  3.901479
1.4   172.185487  231.766608  231.767489  128.669974  85.159367   30.088482   30.088554  16.267602  16.267570  73.832025  0.252058  0.252132   91.973588  40.656924  7.395938  3.900428
1.6   171.799647  232.470912  232.471673  131.862495  85.706541   31.451875   31.451938  16.240836  16.240807  73.939611  0.260929  0.260991   93.493752  40.709093  7.427714  3.898556
1.8   171.420393  233.122086  233.122739  134.989674  86.199256   32.818519   32.818574  16.200683  16.200656  74.045122  0.268992  0.269044   94.976460  40.743173  7.457779  3.895881
2.0   171.047510  233.721753  233.722308  138.053686  86.639331   34.188186   34.188234  16.147640  16.147617  74.148556  0.276321  0.276363   96.422879  40.759770  7.486206  3.892433
2.2   170.680739  234.271787  234.272251  141.057136  87.028932   35.560588   35.560629  16.082316  16.082295  74.249884  0.283020  0.283055   97.834480  40.759655  7.513096  3.888251
2.4   170.319852  234.773877  234.774258  144.002328  87.369977   36.935480   36.935513  16.005241  16.005223  74.349096  0.289174  0.289202   99.212526  40.743483  7.538529  3.883369
2.6   169.964708  235.229198  235.229502  146.890695  87.663698   38.312733   38.312760  15.916734  15.916719  74.446227  0.294801  0.294822  100.557670  40.711594  7.562543  3.877799
2.8   169.615122  235.639202  235.639435  149.724141  87.911694   39.692157   39.692178  15.817230  15.817218  74.541285  0.299953  0.299969  101.870895  40.664499  7.585198  3.871567
3.0   169.270851  236.005689  236.005857  152.505093  88.116005   41.073490   41.073506  15.707290  15.707281  74.634262  0.304717  0.304728  103.153539  40.602894  7.606583  3.864705
3.2   168.931767  236.329732  236.329840  155.234883  88.277756   42.456619   42.456629  15.587209  15.587203  74.725189  0.309110  0.309117  104.406195  40.527087  7.626730  3.857228
3.4   168.597732  236.612468  236.612518  157.914935  88.398154   43.841415   43.841420  15.457301  15.457298  74.814092  0.313156  0.313159  105.629520  40.437420  7.645677  3.849146
