               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   867.637413  180.448257  112.865630  120.479859   52.313914   25.946856    5.176637  65.203911  57.504609   61.427937   61.267362  57.739107  6.579267  4.251616
0.5   863.217350  186.327645  120.490486  131.478517   56.569099   31.531187   12.076125  66.880641  59.494870   63.220596   68.128730  59.461337  6.775980  4.303487
1.0   858.931627  192.039150  127.780715  141.940269   60.694582   36.905811   18.686345  68.468532  61.363175   64.947098   74.667652  61.074164  6.955603  4.350632
1.5   854.773339  197.590944  134.753447  151.892861   64.696665   42.081227   25.021973  69.972239  63.115971   66.610806   80.905233  62.583707  7.119671  4.393385
2.0   850.734601  202.992320  141.428219  161.367949   68.582514   47.069396   31.099737  71.397078  64.760619   68.215551   86.867245  64.003037  7.270529  4.432408
2.5   846.808763  208.251160  147.821537  170.392266   72.358203   51.880440   36.933781  72.747535  66.303330   69.764570   92.574071  65.341719  7.409871  4.468182
3.0   842.990225  213.374148  153.947340  178.988368   76.028885   56.522919   42.536055  74.027389  67.749331   71.260601   98.041293  66.604430  7.538699  4.500949
3.5   839.272279  218.369236  159.822284  187.183228   79.600690   61.007046   47.920831  75.241167  69.104889   72.706913  103.289180  67.799549  7.658602  4.531137
4.0   835.650856  223.241344  165.456542  194.993283   83.077411   65.339092   53.096842  76.391617  70.373802   74.105506  108.327613  68.929618  7.770068  4.558869
4.5   832.120473  227.997023  170.863767  202.440629   86.464097   69.527444   58.075795  77.482442  71.561191   75.459061  113.171812  69.999879  7.874114  4.584410
5.0   828.676786  232.641505  176.054806  209.542800   89.764780   73.578782   62.866999  78.516578  72.671113   76.769711  117.832998  71.013951  7.971408  4.607936
5.5   825.316168  237.179193  181.038736  216.314458   92.982855   77.498707   67.478250  79.496474  73.706952   78.039241  122.319877  71.974422  8.062401  4.629568
6.0   822.033850  241.615817  185.827459  222.774848   96.122737   81.294542   71.919760  80.425353  74.673164   79.269991  126.644927  72.885268  8.147842  4.649502
6.5   818.827023  245.954822  190.428028  228.935350   99.187083   84.970652   76.197593  81.305114  75.572367   80.463350  130.814393  73.748340  8.228011  4.667818
7.0   815.692368  250.200250  194.848759  234.809391  102.179007   88.532175   80.318896  82.138000  76.407657   81.620954  134.836123  74.566027  8.303309  4.684625
7.5   812.626034  254.356765  199.099287  240.412539  105.102105   91.985052   84.291941  82.926614  77.182632   82.744700  138.719544  75.341220  8.374243  4.700059
8.0   809.625893  258.427012  203.184977  245.753434  107.958414   95.332616   88.121348  83.672395  77.899272   83.835644  142.469049  76.075243  8.440982  4.714172
8.5   806.689068  262.414511  207.113048  250.843726  110.750649   98.579334   91.813325  84.377286  78.560259   84.895211  146.091192  76.770088  8.503839  4.727050
9.0   803.812457  266.323053  210.891283  255.695977  113.481732  101.730016   95.374561  85.043384  79.168488   85.924931  149.593145  77.427931  8.563165  4.738793
9.5   800.994298  270.154841  214.524127  260.317341  116.153360  104.787433   98.808889  85.671880  79.725597   86.925682  152.978426  78.049860  8.619089  4.749438
10.0  798.232234  273.912785  218.017513  264.717382  118.767777  107.755263  102.121413  86.264367  80.233780   87.898635  156.252172  78.637445  8.671835  4.759052
10.5  795.523572  277.600195  221.378206  268.907013  121.327534  110.637697  105.317954  86.822664  80.695549   88.845122  159.420371  79.192503  8.721676  4.767711
11.0  792.866907  281.218844  224.609763  272.891948  123.834000  113.436958  108.401581  87.347720  81.112206   89.765846  162.485720  79.715889  8.768704  4.775447
11.5  790.260333  284.771106  227.716987  276.679925  126.289004  116.156033  111.376433  87.840822  81.485524   90.661756  165.452197  80.208830  8.813078  4.782305
12.0  787.701469  288.259921  230.705872  280.280603  128.694813  118.798639  114.247669  88.303579  81.817720   91.534033  168.324933  80.672894  8.855020  4.788351
12.5  785.189109  291.686822  233.579470  283.698886  131.052609  121.366690  117.017926  88.736803  82.109911   92.383282  171.106205  81.108810  8.894603  4.793608
13.0  782.721708  295.053749  236.341688  286.941057  133.363889  123.862623  119.690575  89.141537  82.363530   93.210273  173.799119  81.517552  8.931944  4.798113
13.5  780.297389  298.363040  238.997256  290.014731  135.630455  126.289379  122.269690  89.519048  82.580321   94.015941  176.407547  81.900317  8.967195  4.801910
14.0  777.914774  301.616435  241.549661  292.925517  137.853650  128.649139  124.758284  89.870266  82.761564   94.800975  178.934214  82.257967  9.000457  4.805032
14.5  775.572730  304.815372  244.001770  295.678015  140.034584  130.943699  127.158832  90.195952  82.908303   95.565942  181.381265  82.591189  9.031798  4.807501
15.0  773.269878  307.961590  246.357070  298.277833  142.174599  133.175239  129.474347  90.497037  83.021817   96.311532  183.751421  82.900842  9.061317  4.809347
15.5  771.004563  311.057164  248.619741  300.731695  144.275294  135.346363  131.708431  90.774638  83.103643   97.038570  186.048015  83.187968  9.089141  4.810608
16.0  768.776033  314.103070  250.791692  303.042659  146.337423  137.458279  133.862741  91.029257  83.154470   97.747435  188.272363  83.453006  9.115303  4.811297
16.5  766.583165  317.100735  252.875771  305.215297  148.362090  139.512770  135.939739  91.261652  83.175336   98.438690  190.426613  83.696642  9.139876  4.811437
17.0  764.424647  320.051818  254.875292  307.254936  150.350572  141.511912  137.942287  91.472706  83.167455   99.112991  192.513316  83.919688  9.162950  4.811056
17.5  762.299408  322.957682  256.792970  309.165932  152.303923  143.457404  139.872730  91.663139  83.131817   99.770876  194.534508  84.122794  9.184593  4.810175
18.0  760.206707  325.819287  258.630686  310.951302  154.222885  145.350437  141.732702  91.833448  83.069100  100.412717  196.491506  84.306399  9.204841  4.808807
18.5  758.145595  328.637848  260.390846  312.614901  156.108395  147.192522  143.524284  91.984270  82.980179  101.038990  198.386080  84.471074  9.223751  4.806970
19.0  756.114879  331.414878  262.076467  314.161577  157.961622  148.985550  145.250082  92.116408  82.866156  101.650294  200.220511  84.617548  9.241400  4.804689
19.5  754.113837  334.151313  263.689384  315.594269  159.783289  150.730678  146.911689  92.230345  82.727694  102.246991  201.996090  84.746248  9.257826  4.801975
20.0  752.141777  336.848052  265.231355  316.915790  161.574089  152.429019  148.510628  92.326545  82.565426  102.829430  203.714045  84.857580  9.273063  4.798841
20.5  750.197895  339.506127  266.704416  318.129404  163.334823  154.081856  150.048664  92.405545  82.380089  103.398016  205.375836  84.952021  9.287156  4.795301
21.0  748.281150  342.126871  268.111208  319.239352  165.066518  155.690848  151.528082  92.468047  82.172645  103.953271  206.983419  85.030204  9.300167  4.791375
21.5  746.390984  344.711013  269.453146  320.247892  166.769738  157.256892  152.950111  92.514422  81.943600  104.495477  208.537745  85.092446  9.312122  4.787071
22.0  744.526794  347.259339  270.731760  321.157474  168.445090  158.780959  154.316080  92.545071  81.693505  105.024936  210.039862  85.139099  9.323050  4.782400
22.5  742.687900  349.772732  271.948779  321.970865  170.093258  160.264140  155.627487  92.560450  81.422983  105.541992  211.490979  85.170560  9.332984  4.777371
23.0  740.873429  352.252316  273.106418  322.691616  171.715109  161.707832  156.886252  92.561145  81.132836  106.047085  212.892695  85.187353  9.341975  4.772003
23.5  739.082854  354.698780  274.206010  323.321862  173.311177  163.112882  158.093535  92.547506  80.823543  106.540479  214.245903  85.189777  9.350045  4.766301
24.0  737.315694  357.112759  275.248781  323.863556  174.881952  164.480070  159.250400  92.519852  80.495540  107.022417  215.551407  85.178105  9.357215  4.760273
24.5  735.571369  359.495010  276.236201  324.319052  176.428020  165.810329  160.358125  92.478570  80.149355  107.493193  216.810210  85.152670  9.363513  4.753928
25.0  733.849190  361.846427  277.170019  324.691151  177.950072  167.104763  161.418228  92.424121  79.785619  107.953153  218.023535  85.113877  9.368973  4.747278
