               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   844.738166  210.990007  150.240628  174.312314   70.372591   50.183707   36.329296  74.837866  68.924253   72.170718   92.763397  67.677895  7.468484  4.541785
0.5   840.834211  216.279991  156.470440  183.031946   74.122173   54.903342   42.005112  76.144979  70.396318   73.710078   98.310106  68.968824  7.597737  4.574291
1.0   837.049083  221.417463  162.416060  191.302006   77.756727   59.442572   47.435320  77.377633  71.767922   75.191219  103.610722  70.183398  7.717246  4.603997
1.5   833.375958  226.410789  168.093961  199.148877   81.282576   63.811633   52.634049  78.540249  73.045102   76.617470  108.681798  71.326867  7.827948  4.631145
2.0   829.807166  231.269343  173.522651  206.602208   84.706804   68.022008   57.617165  79.637799  74.234652   77.992569  113.542613  72.405855  7.931033  4.656050
2.5   826.338177  235.998758  178.713099  213.679529   88.033665   72.080538   62.394087  80.673214  75.340564   79.318736  118.203003  73.423189  8.026936  4.678828
3.0   822.962574  240.606919  183.680804  220.405652   91.269115   75.996860   66.978111  81.650651  76.368516   80.599106  122.678296  74.383774  8.116507  4.699707
3.5   819.675595  245.099725  188.437280  226.798989   94.417611   79.778149   71.379121  82.573192  77.322705   81.836011  126.979219  75.290943  8.200278  4.718829
4.0   816.473269  249.482131  192.992145  232.874899   97.482891   83.430411   75.605379  83.443402  78.206628   83.031399  131.114311  76.147276  8.278630  4.736302
4.5   813.350171  253.760841  197.358517  238.654369  100.470018   86.961814   79.668144  84.264795  79.025078   84.187927  135.095978  76.956616  8.352192  4.752295
5.0   810.303260  257.939677  201.543762  244.149149  103.381877   90.376973   83.573751  85.039332  79.780719   85.307090  138.930433  77.720851  8.421214  4.766880
5.5   807.329099  262.022946  205.556205  249.372530  106.221717   93.681093   87.329357  85.769231  80.476572   86.390579  142.624927  78.442197  8.486008  4.780147
6.0   804.423182  266.016248  209.406754  254.341944  108.993767   96.880980   90.944327  86.457408  81.116610   87.440603  146.189347  79.123675  8.547036  4.792223
6.5   801.583369  269.922308  213.100595  259.065648  111.700080   99.979897   94.423130  87.105237  81.702697   88.458220  149.627789  79.766550  8.604438  4.803152
7.0   798.806794  273.744738  216.644678  263.554729  114.343382  102.982201   97.771744  87.714566  82.237347   89.444842  152.946131  80.372624  8.658453  4.813002
7.5   796.089783  277.488129  220.047895  267.823383  116.927138  105.893450  100.997811  88.287768  82.723788   90.402274  156.152129  80.944266  8.709415  4.821870
8.0   793.430559  281.154762  223.314563  271.878478  119.453068  108.716367  104.105051  88.825983  83.163565   91.331395  159.249134  81.482524  8.757435  4.829789
8.5   790.826841  284.747527  226.450205  275.728814  121.923350  111.454423  107.098222  89.330676  83.558669   92.233332  162.241658  81.988793  8.802683  4.836811
9.0   788.275735  288.270069  229.461838  279.385579  124.340736  114.112017  109.983358  89.803714  83.911637   93.109509  165.135597  82.464884  8.845394  4.843005
9.5   785.775448  291.724682  232.353807  282.855693  126.706955  116.691888  112.764207  90.246246  84.224027   93.960814  167.934390  82.911870  8.885687  4.848406
10.0  783.324289  295.113530  235.130213  286.145675  129.023639  119.196623  115.444302  90.659356  84.497307   94.788082  170.641244  83.330759  8.923671  4.853050
10.5  780.920105  298.439349  237.796274  289.263836  131.292852  121.629504  118.028139  91.044427  84.733355   95.592378  173.260383  83.722860  8.959501  4.856982
11.0  778.560840  301.704754  240.356975  292.218116  133.516567  123.993669  120.520011  91.402780  84.933962   96.374716  175.795819  84.089421  8.993324  4.860246
11.5  776.245362  304.911216  242.815059  295.012865  135.695893  126.290858  122.922290  91.735135  85.100100   97.135658  178.249579  84.431091  9.025196  4.862863
12.0  773.972093  308.060759  245.174350  297.654168  137.832357  128.523488  125.238275  92.042501  85.233139   97.875986  180.624650  84.748809  9.055218  4.864862
12.5  771.738988  311.155988  247.439806  300.149915  139.927923  130.694679  127.472236  92.326191  85.334857   98.596708  182.924987  85.043807  9.083532  4.866288
13.0  769.545010  314.198252  249.613941  302.504094  141.983609  132.806030  129.626347  92.586865  85.406145   99.298342  185.152451  85.316683  9.110191  4.867156
13.5  767.388991  317.189063  251.699582  304.721196  144.000556  134.859333  131.703052  92.825266  85.448008   99.981465  187.309172  85.568116  9.135260  4.867489
14.0  765.269589  320.130149  253.699979  306.806383  145.980068  136.856646  133.705156  93.042250  85.461604  100.646741  189.397638  85.798892  9.158818  4.867311
14.5  763.185088  323.023710  255.619294  308.766275  147.923804  138.800596  135.636248  93.238916  85.448421  101.295020  191.421101  86.010034  9.180976  4.866657
15.0  761.134884  325.870551  257.458989  310.603182  149.832370  140.692122  137.497597  93.415643  85.408968  101.926604  193.380557  86.201873  9.201755  4.865533
