               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
15.5  759.117903  328.672061  259.221658  312.321220  151.706817  142.532872  139.291446  93.573111  85.344165  102.542023  195.277946  86.375027  9.221213  4.863959
16.0  757.132983  331.429749  260.910120  313.924867  153.548281  144.324634  141.020231  93.712062  85.255012  103.141856  197.115395  86.530176  9.239416  4.861955
16.5  755.178799  334.145323  262.527586  315.419221  155.358052  146.069442  142.686724  93.833342  85.142654  103.726757  198.895348  86.668094  9.256441  4.859546
17.0  753.254833  336.819474  264.075301  316.806250  157.136651  147.768098  144.292008  93.937271  85.007520  104.296985  200.618645  86.789063  9.272305  4.856738
17.5  751.360198  339.453361  265.555413  318.089360  158.884953  149.421971  145.837942  94.024411  84.850369  104.852980  202.286865  86.893589  9.287054  4.853546
18.0  749.493951  342.048211  266.970202  319.272165  160.603884  151.032513  147.326498  94.095361  84.672006  105.395209  203.901691  86.982213  9.300736  4.849984
18.5  747.654914  344.605553  268.322526  320.359203  162.294596  152.601535  148.760146  94.150870  84.473446  105.924258  205.465267  87.055621  9.313417  4.846075
19.0  745.842703  347.125904  269.613303  321.351918  163.957482  154.129635  150.139686  94.191174  84.255002  106.440317  206.978187  87.114013  9.325106  4.841822
19.5  744.056581  349.610235  270.844315  322.253138  165.593271  155.617953  151.466663  94.216738  84.017301  106.943753  208.441737  87.157806  9.335841  4.837236
20.0  742.295809  352.059513  272.017347  323.065688  167.202697  157.067628  152.742623  94.228027  83.760968  107.434931  209.857203  87.187416  9.345654  4.832329
20.5  740.559324  354.475122  273.134975  323.793654  168.786802  158.480298  153.969793  94.225717  83.486917  107.914381  211.226495  87.203458  9.354602  4.827118
21.0  738.846764  356.857553  274.198068  324.438405  170.345956  159.856528  155.148932  94.210030  83.195443  108.382281  212.550178  87.206122  9.362696  4.821607
21.5  737.157560  359.207558  275.207993  325.002107  171.880727  161.197196  156.281226  94.181321  82.887023  108.838915  213.829211  87.195720  9.369961  4.815805
22.0  735.491098  361.525950  276.166237  325.487113  173.391728  162.503256  157.367966  94.139978  82.562178  109.284588  215.064645  87.172596  9.376422  4.809720
22.5  733.846613  363.813731  277.074648  325.896348  174.879717  163.775887  158.410750  94.086481  82.221555  109.719679  216.257814  87.137183  9.382118  4.803364
23.0  732.223481  366.071726  277.934728  326.232192  176.345314  165.016054  159.410885  94.021221  81.865681  110.144499  217.409782  87.089827  9.387074  4.796745
23.5  730.621380  368.300374  278.747254  326.495870  177.788851  166.224261  160.369046  93.944398  81.494819  110.559208  218.521048  87.030697  9.391301  4.789868
24.0  729.039792  370.500360  279.513468  326.689348  179.210845  167.401309  161.286314  93.856334  81.109403  110.964063  219.592475  86.960074  9.394821  4.782739
24.5  727.478204  372.672370  280.234613  326.814591  180.611813  168.547996  162.163767  93.757349  80.709864  111.359320  220.624924  86.878243  9.397654  4.775365
25.0  725.935858  374.817398  280.912515  326.874490  181.992504  169.665491  163.002988  93.647921  80.296842  111.745355  221.619707  86.785629  9.399836  4.767757
