               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   882.732241  161.407197   86.982389   82.366800   40.362857    9.304713  -16.698771  58.528699  49.395957   54.454185   38.702454  50.086808  5.794909  3.994058
0.5   878.044748  167.571394   95.420402   94.735129   44.884239   15.380246   -9.084540  60.426741  51.707800   56.381859   46.490719  52.593588  6.079690  4.082368
1.0   873.496792  173.565084  103.502481  106.527362   49.271697   21.234725   -1.777921  62.229441  53.887389   58.240745   53.885481  54.538820  6.317295  4.146113
1.5   869.079470  179.398376  111.250860  117.779805   53.533119   26.881610    5.240086  63.942915  55.943265   60.035126   60.929812  56.344880  6.532133  4.203443
2.0   864.786169  185.078871  118.682160  128.519572   57.674438   32.330992   11.983700  65.571720  57.881791   61.768208   67.649491  58.029897  6.727160  4.255266
2.5   860.609971  190.614507  125.813748  138.775002   61.701850   37.593410   18.467778  67.120623  59.709620   63.443339   74.071936  59.603785  6.905073  4.302126
3.0   856.544605  196.012510  132.661405  148.571835   65.620994   42.678447   24.705824  68.593950  61.432791   65.063560   80.220971  61.087828  7.068783  4.345066
3.5   852.584966  201.278818  139.238034  157.931096   69.436506   47.593957   30.708886  69.995231  63.056225   66.631362   86.113083  62.484949  7.219402  4.384275
4.0   848.724877  206.420554  145.559184  166.878151   73.153945   52.349386   36.490274  71.328728  64.585872   68.149743   91.770886  63.808884  7.359250  4.420454
4.5   844.960453  211.442298  151.634739  175.429087   76.776889   56.950768   42.058461  72.597138  66.025488   69.620612   97.205044  65.061502  7.488887  4.453713
5.0   841.286615  216.349959  157.477539  183.604834   80.309949   61.405920   47.424446  73.803972  67.379973   71.046445  102.432111  66.249641  7.609665  4.484413
5.5   837.699294  221.148314  163.097915  191.422211   83.756858   65.721142   52.597085  74.952051  68.653256   72.429236  107.464107  67.377550  7.722430  4.512777
6.0   834.194985  225.841511  168.504798  198.895757   87.120854   69.901893   57.584039  76.043810  69.848730   73.770710  112.310529  68.448033  7.827746  4.538950
6.5   830.769204  230.434796  173.709556  206.043988   90.406034   73.955102   62.395050  77.082353  70.970723   75.073062  116.984911  69.465797  7.926582  4.563180
7.0   827.419318  234.931331  178.718942  212.877879   93.614868   77.884910   67.035920  78.069514  72.021788   76.337595  121.493502  70.432560  8.019231  4.585549
7.5   824.141964  239.335099  183.541530  219.411383   96.750468   81.696561   71.514008  79.007629  73.005178   77.565966  125.845355  71.351150  8.106240  4.606200
8.0   820.933756  243.650113  188.185955  225.658552   99.815970   85.395332   75.836721  79.899050  73.924170   78.759842  130.049616  72.224429  8.188162  4.625278
8.5   817.792451  247.879084  192.657985  231.628751  102.813490   88.984768   80.009019  80.745340  74.780937   79.920338  134.111396  73.053893  8.265231  4.642851
9.0   814.715107  252.025518  196.965141  237.334215  105.745772   92.469476   84.037362  81.548544  75.578328   81.048908  138.038196  73.841821  8.337862  4.659029
9.5   811.699109  256.092552  201.114126  242.785837  108.615264   95.853565   87.927506  82.310484  76.318876   82.146846  141.836469  74.590171  8.406397  4.673906
10.0  808.742516  260.082546  205.109944  247.991742  111.423813   99.140117   91.683760  83.032512  77.004464   83.215120  145.510509  75.300238  8.471024  4.687537
10.5  805.842815  263.998520  208.959046  252.962409  114.173779  102.333089   95.311666  83.716379  77.637527   84.254977  149.066386  75.973851  8.532052  4.700007
11.0  802.997858  267.843070  212.666951  257.706806  116.867193  105.435875   98.815972  84.363581  78.220145   85.267483  152.509081  76.612523  8.589722  4.711385
11.5  800.206004  271.618210  216.237908  262.231823  119.505630  108.451097  102.200338  84.975265  78.753912   86.253462  155.842092  77.217329  8.644176  4.721713
12.0  797.465150  275.326488  219.677332  266.546250  122.091083  111.382085  105.469420  85.552896  79.240866   87.213958  159.070238  77.789729  8.695641  4.731057
