               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
12.5  794.773393  278.970217  222.990126  270.658049  124.625360  114.231858  108.627441  86.097801  79.682851   88.149922  162.197783  78.331024  8.744311  4.739472
13.0  792.129389  282.551062  226.179781  274.572877  127.109767  117.002577  111.677412  86.610920  80.081171   89.062028  165.227461  78.842075  8.790289  4.746991
13.5  789.531430  286.071112  229.250712  278.297892  129.545937  119.696965  114.623134  87.093444  80.437483   89.951130  168.162989  79.324023  8.833736  4.753661
14.0  786.977695  289.532588  232.207619  281.840723  131.935609  122.317917  117.468653  87.546643  80.753553   90.818137  171.008378  79.778096  8.874827  4.759533
14.5  784.467128  292.936814  235.053253  285.205822  134.279818  124.867146  120.216350  87.971256  81.030401   91.663583  173.765655  80.204951  8.913630  4.764631
15.0  781.998353  296.285490  237.791188  288.398980  136.579899  127.346860  122.869304  88.368244  81.269365   92.488158  176.437681  80.605482  8.950260  4.768989
15.5  779.569668  299.580700  240.425822  291.427330  138.837481  129.759774  125.431303  88.738794  81.472094   93.292713  179.028113  80.980817  8.984871  4.772652
16.0  777.180142  302.823619  242.959590  294.294812  141.053486  132.107404  127.904457  89.083558  81.639490   94.077721  181.538718  81.331534  9.017520  4.775640
16.5  774.828648  306.015649  245.395421  297.006165  143.229013  134.391567  130.291292  89.403321  81.772644   94.843747  183.971735  81.658346  9.048289  4.777980
17.0  772.513865  309.158429  247.736747  299.566951  145.365346  136.614389  132.594771  89.699007  81.872836   95.591456  186.329873  81.962108  9.077284  4.779702
17.5  770.234638  312.253396  249.986574  301.982035  147.463611  138.777734  134.817488  89.971423  81.941187   96.321431  188.615449  82.243556  9.104590  4.780835
18.0  767.990160  315.301573  252.147009  304.254823  149.524612  140.882918  136.961269  90.221131  81.978475   97.034079  190.829952  82.503184  9.130255  4.781393
18.5  765.779432  318.304215  254.220664  306.389541  151.549333  142.931564  139.028371  90.448830  81.985670   97.729906  192.975335  82.741619  9.154347  4.781398
19.0  763.601192  321.262886  256.210813  308.391490  153.538999  144.925703  141.021621  90.655401  81.963992   98.409546  195.054140  82.959670  9.176962  4.780881
19.5  761.454762  324.178457  258.119238  310.263548  155.494295  146.866449  142.942563  90.841317  81.914098   99.073343  197.067583  83.157744  9.198135  4.779854
20.0  759.339335  327.051948  259.948051  312.009125  157.416024  148.755121  144.793027  91.007142  81.836767   99.721708  199.017176  83.336339  9.217917  4.778332
20.5  757.254017  329.884487  261.699586  313.631995  159.305068  150.593173  146.575030  91.153499  81.732864  100.355092  200.904622  83.496011  9.236364  4.776334
21.0  755.197758  332.677390  263.376579  315.136589  161.162461  152.382306  148.290940  91.281122  81.603407  100.974025  202.731974  83.637419  9.253548  4.773884
21.5  753.170060  335.431302  264.980342  316.525016  162.988711  154.123347  149.941896  91.390357  81.448872  101.578761  204.500057  83.760854  9.269492  4.770987
22.0  751.170189  338.147162  266.512802  317.800387  164.784555  155.817501  151.529568  91.481717  81.269970  102.169674  206.210226  83.866762  9.284237  4.767660
22.5  749.197337  340.825990  267.976069  318.966115  166.550796  157.466084  153.055784  91.555765  81.067481  102.747172  207.863992  83.955642  9.297833  4.763916
23.0  747.250678  343.468833  269.372303  320.025690  168.288254  159.070446  154.522414  91.613079  80.842205  103.311674  209.462905  84.028003  9.310331  4.759774
23.5  745.329764  346.076277  270.702688  320.981013  169.997392  160.631332  155.930488  91.653969  80.594569  103.863410  211.007697  84.084101  9.321748  4.755239
24.0  743.433963  348.649132  271.968882  321.834765  171.678846  162.149784  157.281445  91.678876  80.325186  104.402700  212.499500  84.124316  9.332120  4.750322
24.5  741.562575  351.188290  273.172718  322.589901  173.333319  163.626948  158.576874  91.688288  80.034728  104.929900  213.939588  84.149073  9.341485  4.745037
25.0  739.714887  353.694661  274.316067  323.249444  174.961525  165.063995  159.818397  91.682703  79.723886  105.445372  215.329267  84.158806  9.349885  4.739397
