               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   853.023830  199.542266  136.944654  155.340036   63.831619   41.540832   25.346183  71.398341  64.878137   68.226186   81.658457  64.146470  7.173378  4.443326
0.5   848.916808  205.067528  143.699814  164.907166   67.778556   46.589227   31.482664  72.843026  66.540188   69.863824   87.677110  65.585384  7.324117  4.482076
1.0   844.936657  210.431443  150.146938  173.984367   71.602791   51.443011   37.352921  74.206595  68.092070   71.439173   93.419055  66.935435  7.462542  4.517335
1.5   841.074705  215.644455  156.307148  182.605631   75.312273   56.115220   42.975051  75.494750  69.541621   72.956450   98.908675  68.206559  7.590468  4.549592
2.0   837.324318  220.714617  162.196640  190.796995   78.913132   60.615872   48.362943  76.711856  70.894829   74.418893  104.163239  69.404860  7.709006  4.579142
2.5   833.679663  225.649045  167.829671  198.581363   82.410783   64.953797   53.528825  77.861748  72.156954   75.829354  109.197148  70.534788  7.818971  4.606197
3.0   830.133712  230.456262  173.223393  205.986315   85.811711   69.139603   58.487406  78.949051  73.334343   77.191262  114.028790  71.602706  7.921543  4.631065
3.5   826.682457  235.141221  178.387631  213.027606   89.119684   73.179399   63.247125  79.976397  74.430599   78.506586  118.666978  72.611107  8.017111  4.653852
4.0   823.320309  239.710751  183.336050  219.727189   92.339896   77.081654   67.819706  80.947462  75.450763   79.778062  123.125393  73.564347  8.106447  4.674763
4.5   820.042673  244.170498  188.079901  226.103118   95.476641   80.853350   72.214808  81.865267  76.398974   81.007944  127.414825  74.465798  8.190117  4.693951
5.0   816.846053  248.524800  192.627755  232.169135   98.533218   84.499827   76.439800  82.732105  77.278369   82.197951  131.542863  75.317737  8.268460  4.711509
5.5   813.725684  252.779512  196.991283  237.943972  101.514080   88.028327   80.504699  83.551110  78.093244   83.350422  135.520653  76.123599  8.342052  4.727594
6.0   810.678465  256.938495  201.178093  243.439817  104.422162   91.443595   84.416048  84.324317  78.846379   84.466886  139.354834  76.885412  8.411183  4.742288
6.5   807.701372  261.005520  205.195607  248.668560  107.260331   94.750260   88.180231  85.053709  79.540486   85.548832  143.051843  77.605134  8.476131  4.755671
7.0   804.790415  264.985519  209.053607  253.645887  110.032335   97.954405   91.805650  85.741908  80.179153   86.598223  146.620609  78.285487  8.537320  4.767860
7.5   801.943313  268.881364  212.757701  258.380769  112.740360  101.059541   95.297135  86.390407  80.764420   87.616188  150.065730  78.927886  8.594927  4.778907
8.0   799.157533  272.696232  216.314111  262.883163  115.386818  104.069555   98.660039  87.000865  81.298553   88.603977  153.392440  79.533937  8.649164  4.788876
8.5   796.429806  276.434192  219.730861  267.165928  117.974803  106.989451  101.901264  87.575428  81.784487   89.563203  156.607765  80.105782  8.700341  4.797854
9.0   793.758205  280.097684  223.012693  271.236640  120.506170  109.822200  105.024893  88.115357  82.223940   90.494820  159.715507  80.644603  8.748596  4.805883
9.5   791.140703  283.689268  226.164585  275.103258  122.982863  112.570925  108.035218  88.621975  82.618717   91.399832  162.719698  81.151649  8.794081  4.813010
10.0  788.574709  287.212196  229.192911  278.775982  125.407355  115.239607  110.937722  89.096982  82.971142   92.279520  165.625700  81.628568  8.837013  4.819298
10.5  786.058326  290.668866  232.102329  282.262258  127.781469  117.831170  113.736422  89.541616  83.282901   93.134824  168.437266  82.076526  8.877532  4.824788
11.0  783.590036  294.061220  234.896581  285.568057  130.106679  120.347967  116.434544  89.956868  83.555344   93.966497  171.157291  82.496436  8.915734  4.829513
11.5  781.167892  297.391720  237.580454  288.701030  132.384857  122.793001  119.036214  90.344010  83.790206   94.775505  173.789636  82.889499  8.951765  4.833515
12.0  778.789817  300.662988  240.159051  291.669336  134.617997  125.169471  121.545829  90.704400  83.989339   95.562876  176.338449  83.257000  8.985780  4.836841
12.5  776.454771  303.876377  242.634939  294.477062  136.807126  127.479000  123.965609  91.038713  84.153660   96.329129  178.805595  83.599543  9.017831  4.839510
13.0  774.161257  307.033793  245.011797  297.130079  138.953693  129.723907  126.298730  91.347923  84.284495   97.075007  181.193939  83.918030  9.048019  4.841551
13.5  771.907404  310.137612  247.294232  299.635748  141.059504  131.907080  128.549161  91.633254  84.383512   97.801439  183.507151  84.213607  9.076474  4.843005
14.0  769.692100  313.189269  249.484981  301.998431  143.125650  134.030251  130.719268  91.895427  84.451692   98.508978  185.747282  84.486929  9.103262  4.843893
