               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
14.5  767.514263  316.190157  251.586700  304.222359  145.153191  136.095101  132.811350  92.135143  84.489984   99.198162  187.916308  84.738632  9.128442  4.844235
15.0  765.372642  319.141887  253.602477  306.312454  147.143350  138.103576  134.828071  92.353216  84.499499   99.869615  190.016579  84.969461  9.152090  4.844054
15.5  763.265566  322.046586  255.536420  308.275277  149.097744  140.058261  136.772977  92.550736  84.481719  100.524166  192.051309  85.180427  9.174319  4.843384
16.0  761.192441  324.905041  257.389988  310.113141  151.016973  141.960090  138.647334  92.728082  84.437156  101.162111  194.021474  85.371858  9.195149  4.842235
16.5  759.152238  327.718585  259.165719  311.830087  152.902050  143.810669  140.453338  92.885921  84.366718  101.783965  195.928965  85.544360  9.214639  4.840623
17.0  757.143842  330.488653  260.866351  313.430479  154.754066  145.611729  142.193355  93.024977  84.271386  102.390282  197.775832  85.698589  9.232852  4.838571
17.5  755.165988  333.216873  262.495002  314.919288  156.574258  147.365238  143.870079  93.146073  84.152279  102.981691  199.564441  85.835300  9.249864  4.836101
18.0  753.218151  335.903942  264.052958  316.298552  158.363156  149.072021  145.484627  93.249541  84.009847  103.558455  201.295651  85.954779  9.265696  4.833221
18.5  751.299472  338.550978  265.542336  317.571641  160.121613  150.733423  147.038834  93.335939  83.844844  104.121002  202.971005  86.057526  9.280391  4.829944
19.0  749.409022  341.159187  266.965420  318.742189  161.850543  152.350891  148.534676  93.405865  83.658084  104.669797  204.592179  86.144082  9.293999  4.826288
19.5  747.545712  343.729975  268.324888  319.814463  163.551017  153.926119  149.974467  93.460027  83.450526  105.205380  206.161166  86.215088  9.306582  4.822272
20.0  745.709131  346.263895  269.621751  320.790063  165.223455  155.459761  151.359090  93.498683  83.222520  105.727958  207.678619  86.270763  9.318153  4.817900
20.5  743.898558  348.761892  270.857782  321.671807  166.868576  156.952945  152.690081  93.522299  82.974695  106.237891  209.145803  86.311522  9.328746  4.813183
21.0  742.113270  351.224910  272.034756  322.462515  168.487098  158.406801  153.968978  93.531339  82.707679  106.735540  210.563984  86.337778  9.338398  4.808134
21.5  740.352217  353.654310  273.155259  323.166307  170.080056  159.822967  155.198020  93.526483  82.422397  107.221428  211.935072  86.350145  9.347164  4.802771
22.0  738.615105  356.050496  274.220008  323.784314  171.647756  161.201911  156.377832  93.507915  82.119093  107.695703  213.259496  86.348774  9.355051  4.797095
22.5  736.901336  358.414255  275.230474  324.318872  173.190799  162.544573  157.509692  93.476017  81.798285  108.158663  214.538282  86.334001  9.362087  4.791117
23.0  735.210303  360.746386  276.188146  324.772347  174.709792  163.851904  158.594893  93.431179  81.460500  108.610611  215.772471  86.306169  9.368299  4.784844
23.5  733.541211  363.047929  277.094982  325.147849  176.205524  165.125148  159.635130  93.373913  81.106432  109.051945  216.963469  86.265736  9.373727  4.778290
24.0  731.893573  365.319531  277.952177  325.447277  177.678490  166.365074  160.631442  93.304529  80.736500  109.482909  218.112087  86.212971  9.378389  4.771461
24.5  730.266999  367.561713  278.760681  325.672136  179.129084  167.572293  161.584658  93.223274  80.351034  109.903696  219.218944  86.148082  9.382301  4.764362
25.0  728.660980  369.775153  279.521749  325.824415  180.557821  168.747610  162.495867  93.130473  79.950474  110.314561  220.284897  86.071351  9.385483  4.757000
