               v        c11s        c22s        c33s        c12s        c13s        c23s       c44s       c55s        c66s      bm_VRH      G_VRH       v_p       v_s
0.0   834.996304  226.763500  166.141513  196.781636   78.338363   60.475611   48.989282  79.092443  74.009932   77.255924  105.955711  72.153976  7.804300  4.662448
0.5   831.371659  231.731045  171.710361  204.467027   81.822902   64.774555   54.084820  80.231782  75.258224   78.665738  110.935613  73.276498  7.911126  4.688371
1.0   827.853484  236.561176  177.028691  211.758557   85.204462   68.913807   58.963852  81.305844  76.419085   80.023559  115.704707  74.334197  8.010425  4.712085
1.5   824.435788  241.261311  182.110810  218.679044   88.488614   72.902294   63.638650  82.318454  77.497707   81.332309  120.276471  75.331270  8.102874  4.733771
2.0   821.111618  245.840023  186.973303  225.254960   91.681798   76.750353   68.123435  83.274049  78.500120   82.595377  124.667015  76.272894  8.189339  4.753660
2.5   817.877256  250.301988  191.625064  231.500460   94.787520   80.463562   72.425852  84.174995  79.429529   83.814587  128.883870  77.161295  8.270113  4.771835
3.0   814.727286  254.653929  196.079021  237.436158   97.810828   84.049998   76.556995  85.024745  80.290620   84.992584  132.938979  78.000181  8.345774  4.788454
3.5   811.656978  258.901740  200.346475  243.080063  100.756145   87.516728   80.526566  85.826311  81.087481   86.131681  136.842580  78.792720  8.416799  4.803647
4.0   808.663211  263.049362  204.434889  248.444043  103.626426   90.868440   84.340981  86.581676  81.822792   87.233411  140.600896  79.540802  8.483426  4.817484
4.5   805.741544  267.102340  208.354868  253.544996  106.425832   94.111774   88.009347  87.293665  82.500388   88.299947  144.223363  80.247326  8.546075  4.830082
5.0   802.888463  271.065089  212.114813  258.396290  109.157675   97.251998   91.538885  87.964513  83.123293   89.333012  147.717231  80.914517  8.605051  4.841528
5.5   800.101435  274.940826  215.720780  263.007551  111.824367  100.292929   94.934805  88.595823  83.693674   90.333852  151.087428  81.543895  8.660533  4.851875
6.0   797.376937  278.733977  219.181183  267.392168  114.429227  103.239845   98.204340  89.189832  84.214562   91.304194  154.341171  82.137672  8.712817  4.861209
6.5   794.711985  282.448310  222.503159  271.561494  116.975082  106.097231  101.353625  89.748436  84.688520   92.245502  157.484472  82.697698  8.762143  4.869598
7.0   792.104643  286.086300  225.691330  275.522864  119.463787  108.868009  104.386645  90.272854  85.117193   93.158731  160.520961  83.225105  8.808630  4.877079
7.5   789.552257  289.651309  228.752040  279.286362  121.897865  111.556173  107.308858  90.764766  85.502855   94.045185  163.455886  83.721512  8.852477  4.883712
8.0   787.051921  293.147009  231.692234  282.863031  124.280068  114.166089  110.126236  91.226017  85.847998   94.906289  166.295036  84.188701  8.893907  4.889562
8.5   784.602287  296.575145  234.515130  286.257971  126.611707  116.699804  112.841559  91.657449  86.153757   95.742711  169.040819  84.627437  8.932990  4.894651
9.0   782.201349  299.938275  237.225521  289.478789  128.894700  119.160344  115.458956  92.060330  86.421841   96.555437  171.697072  85.038914  8.969860  4.899020
9.5   779.846518  303.239682  239.829591  292.535313  131.131510  121.551604  117.983749  92.436296  86.654465   97.345739  174.268852  85.424696  9.004702  4.902725
10.0  777.536483  306.481061  242.330470  295.432504  133.323408  123.875574  120.418641  92.786171  86.852732   98.114264  176.758538  85.785535  9.037589  4.905788
10.5  775.269779  309.664295  244.731654  298.175905  135.471809  126.134472  122.766649  93.110872  87.017880   98.861734  179.168831  86.122284  9.068607  4.908236
11.0  773.044639  312.791645  247.037359  300.772203  137.578408  128.330964  125.031406  93.411512  87.151410   99.589019  181.503052  86.435981  9.097867  4.910104
11.5  770.859109  315.865606  249.252256  303.228814  139.645079  130.468002  127.216939  93.689324  87.254983  100.297080  183.764911  86.727784  9.125495  4.911429
12.0  768.712368  318.887255  251.378293  305.548818  141.672629  132.546836  129.324935  93.944814  87.329277  100.986323  185.955804  86.998145  9.151526  4.912225
12.5  766.603088  321.858300  253.418638  307.737233  143.662345  134.569478  131.358129  94.178814  87.375413  101.657401  188.078158  87.247832  9.176036  4.912514
13.0  764.529684  324.780778  255.377076  309.800064  145.615753  136.538327  133.319788  94.392320  87.394731  102.311096  190.134919  87.477771  9.199119  4.912326
13.5  762.490852  327.656371  257.256716  311.742237  147.534116  138.455357  135.212595  94.586149  87.388331  102.948051  192.128467  87.688714  9.220850  4.911684
14.0  760.485829  330.486074  259.059367  313.566612  149.418186  140.321730  137.038119  94.760771  87.356840  103.568640  194.060107  87.881084  9.241261  4.910599
14.5  758.513529  333.271296  260.787619  315.277290  151.269018  142.139095  138.798598  94.916863  87.301169  104.173400  195.931791  88.055501  9.260411  4.909091
15.0  756.572609  336.013765  262.444671  316.879339  153.087913  143.909485  140.496794  95.055265  87.222448  104.762992  197.745965  88.212740  9.278374  4.907181
15.5  754.662054  338.714799  264.032941  318.376590  154.875861  145.634442  142.134801  95.176610  87.121526  105.337917  199.504440  88.353377  9.295203  4.904887
16.0  752.781235  341.375227  265.553922  319.771400  156.633485  147.314927  143.713912  95.281285  86.998919  105.898484  201.208279  88.477759  9.310923  4.902219
16.5  750.929256  343.996212  267.009741  321.067133  158.361660  148.952299  145.235969  95.369843  86.855371  106.445135  202.859058  88.586389  9.325580  4.899188
17.0  749.105063  346.579119  268.402907  322.267764  160.061414  150.548159  146.703142  95.442942  86.691762  106.978389  204.458658  88.679868  9.339228  4.895815
17.5  747.307669  349.125232  269.735772  323.377015  161.733710  152.104007  148.117466  95.501196  86.508918  107.498733  206.008835  88.758756  9.351916  4.892113
18.0  745.536632  351.635138  271.009376  324.396528  163.378991  153.620519  149.479847  95.544872  86.307193  108.006384  207.510298  88.823288  9.363660  4.888089
18.5  743.791213  354.109804  272.225474  325.329075  164.997985  155.098819  150.791804  95.574425  86.087197  108.501707  208.964328  88.873875  9.374494  4.883753
19.0  742.070674  356.550195  273.385820  326.177434  166.591419  156.540034  152.054860  95.590313  85.849542  108.985066  210.372204  88.910929  9.384451  4.879117
19.5  740.373879  358.957782  274.493116  326.945878  168.160397  157.945884  153.271350  95.593242  85.595175  109.457020  211.735950  88.935097  9.393591  4.874199
20.0  738.700605  361.332873  275.547881  327.635225  169.705153  159.316717  154.441730  95.583341  85.324266  109.917679  213.055874  88.946485  9.401916  4.869000
20.5  737.050241  363.676274  276.551563  328.247766  171.226292  160.653464  155.567259  95.560986  85.037317  110.367344  214.333020  88.945430  9.409452  4.863529
21.0  735.422175  365.988788  277.505615  328.785793  172.724419  161.957060  156.649195  95.526552  84.734829  110.806318  215.568427  88.932269  9.416226  4.857794
21.5  733.815624  368.271437  278.411890  329.252243  174.200304  163.228693  157.689147  95.480523  84.417450  111.234985  216.763452  88.907438  9.422274  4.851808
22.0  732.229991  370.525008  279.271808  329.649353  175.654537  164.469276  158.688344  95.423265  84.085669  111.653640  217.919109  88.871267  9.427621  4.845578
22.5  730.664962  372.749923  280.086101  329.978286  177.087437  165.679290  159.647428  95.354965  83.739733  112.062437  219.035887  88.823917  9.432278  4.839107
23.0  729.120028  374.946857  280.855974  330.240943  178.499510  166.859512  160.567446  95.275935  83.380058  112.461629  220.114635  88.765664  9.436265  4.832403
23.5  727.594681  377.116480  281.582630  330.439227  179.891263  168.010721  161.449444  95.186485  83.007056  112.851464  221.156204  88.696785  9.439601  4.825472
24.0  726.088179  379.259765  282.267827  330.575915  181.263425  169.134043  162.294944  95.087070  82.621339  113.232309  222.161869  88.617691  9.442322  4.818324
24.5  724.600204  381.377140  282.912315  330.652192  182.616319  170.229968  163.104601  94.977884  82.223160  113.604320  223.132132  88.528548  9.444436  4.810963
25.0  723.130425  383.469048  283.516866  330.669284  183.950279  171.299003  163.879091  94.859122  81.812781  113.967660  224.067514  88.429528  9.445954  4.803393
